date,tripduration,start_station_name_old,start_station_id,starttime,end_station_name_old,end_station_id,stoptime,birth_year,age,per_day,hour,week_day,weekend,holiday,start_station_name,end_station_name,lat_start,lon_start,lat_end,lon_end,distance
2022-01-01,3208.0,295 - Vergueiro,295.0,2022-01-01 18:19:22,151 - Centro Cultural SP,151.0,2022-01-01 19:12:50,1990-01-01 00:00:00,32.0,2022-01-01,18,5,True,False,Vergueiro,Centro Cultural SP,-23.5844511087101,-46.6364894393958,-23.5697804473938,-46.6399782950921,2.209
2022-01-01,1223.0,345 - R. Henrique Fischer,345.0,2022-01-01 16:17:08,345 - R. Henrique Fischer,345.0,2022-01-01 16:37:31,1979-01-01 00:00:00,43.0,2022-01-01,16,5,True,False,R. Henrique Fischer,R. Henrique Fischer,-23.6194058975209,-46.6965638090644,-23.6194058975209,-46.6965638090644,0.0
2022-01-01,754.0,14 - Museu da Casa Brasileira,14.0,2022-01-01 13:45:12,225 - Sampaio Vidal 530,225.0,2022-01-01 13:57:46,1993-01-01 00:00:00,29.0,2022-01-01,13,5,True,False,Museu da Casa Brasileira,Sampaio Vidal 530,-23.5808802329648,-46.6847086015679,-23.5687716945858,-46.6841990407743,1.939
2022-01-01,3522.0,87 - Parque Prefeito Mário Covas,87.0,2022-01-01 10:09:19,44 - Ibirapuera Portão 09,44.0,2022-01-01 11:08:01,1990-01-01 00:00:00,32.0,2022-01-01,10,5,True,False,Parque Prefeito Mário Covas,Pq. Ibirapuera portão 9,-23.56004,-46.65819,-23.5788395,-46.6600902,2.905
2022-01-01,521.0,87 - Parque Prefeito Mário Covas,87.0,2022-01-01 11:21:36,90 - Alameda Campinas,90.0,2022-01-01 11:30:17,2001-01-01 00:00:00,21.0,2022-01-01,11,5,True,False,Parque Prefeito Mário Covas,Alameda Campinas,-23.56004,-46.65819,-23.5645728749771,-46.6523898406747,1.152
2022-01-01,1273.0,20 - CPTM Cidade Jardim,20.0,2022-01-01 19:08:13,1 - Largo da Batata,1.0,2022-01-01 19:29:26,,,2022-01-01,19,5,True,False,CPTM Cidade Jardim,Largo da Batata,-23.5850202930326,-46.6904367894373,-23.5668309564147,-46.6937412022694,2.726
2022-01-01,5788.0,334 - R. Pe. Antônio,334.0,2022-01-01 21:03:14,125 - Natividade,125.0,2022-01-01 22:39:42,1996-01-01 00:00:00,26.0,2022-01-01,21,5,True,False,R. Pe. Antônio,Natividade,-23.6129704331121,-46.6832068389874,-23.5972296670023,-46.6716583619071,3.068
2022-01-01,954.0,334 - R. Pe. Antônio,334.0,2022-01-01 10:16:54,21 - Parque do Povo portão 1,21.0,2022-01-01 10:32:48,1979-01-01 00:00:00,43.0,2022-01-01,10,5,True,False,R. Pe. Antônio,Parque do Povo portão 1,-23.6129704331121,-46.6832068389874,-23.5890444167307,-46.6882179128703,3.404
2022-01-01,3542.0,313 - Metrô AACD Servidor,313.0,2022-01-01 11:31:35,132 - Ibirapuera Portão 05,132.0,2022-01-01 12:30:37,1989-01-01 00:00:00,33.0,2022-01-01,11,5,True,False,METRÔ AACD SERVIDOR,Ibirapuera Portão 05,-23.5976149401058,-46.6527798263341,-23.5921163886911,-46.6553996394387,1.198
2022-01-01,891.0,303 - Rio Grande,303.0,2022-01-01 14:29:02,303 - Rio Grande,303.0,2022-01-01 14:43:53,1977-01-01 00:00:00,45.0,2022-01-01,14,5,True,False,Rio Grande,Rio Grande,-23.5871298485912,-46.6432336771114,-23.5871298485912,-46.6432336771114,0.0
2022-01-01,3319.0,272 - R. República do Iraque,272.0,2022-01-01 11:29:10,272 - R. República do Iraque,272.0,2022-01-01 12:24:29,1987-01-01 00:00:00,35.0,2022-01-01,11,5,True,False,R. República do Iraque,R. República do Iraque,-23.6232726724509,-46.6700667219887,-23.6232726724509,-46.6700667219887,0.0
2022-01-01,1887.0,215 - E.E. Godofredo Furtado,215.0,2022-01-01 12:03:59,130 - Afonso Braz,130.0,2022-01-01 12:35:26,1994-01-01 00:00:00,28.0,2022-01-01,12,5,True,False,E.E. Godofredo Furtado,Afonso Braz,-23.5594417332263,-46.6784556405711,-23.5958920911892,-46.6641781648402,5.217
2022-01-01,922.0,154 - R. Condessa de São Joaquim,154.0,2022-01-01 10:43:17,159 - Metrô São Joaquim,159.0,2022-01-01 10:58:39,1989-01-01 00:00:00,33.0,2022-01-01,10,5,True,False,R. Condessa de São Joaquim,Metrô São Joaquim,-23.5578839112131,-46.6397155073801,-23.5633565983964,-46.6385861918078,1.134
2022-01-01,459.0,151 - Centro Cultural SP,151.0,2022-01-01 22:38:52,92 - Metrô Brigadeiro,92.0,2022-01-01 22:46:31,1991-01-01 00:00:00,31.0,2022-01-01,22,5,True,False,Centro Cultural SP,Metrô Brigadeiro,-23.5697804473938,-46.6399782950921,-23.5681059122191,-46.6486743523506,1.578
2022-01-01,2137.0,149 - Rua Afonso de Freitas,149.0,2022-01-01 17:18:53,85 - Praça do Ciclista,85.0,2022-01-01 17:54:30,1992-01-01 00:00:00,30.0,2022-01-01,17,5,True,False,Rua Afonso de Freitas,Praça do Ciclista,-23.5751852010033,-46.6442442465325,-23.5559579861242,-46.6626658808429,3.425
2022-01-01,2174.0,1 - Largo da Batata,1.0,2022-01-01 18:50:13,1 - Largo da Batata,1.0,2022-01-01 19:26:27,1994-01-01 00:00:00,28.0,2022-01-01,18,5,True,False,Largo da Batata,Largo da Batata,-23.5668309564147,-46.6937412022694,-23.5668309564147,-46.6937412022694,0.0
2022-01-01,180.0,1 - Largo da Batata,1.0,2022-01-01 18:46:26,1 - Largo da Batata,1.0,2022-01-01 18:49:26,1994-01-01 00:00:00,28.0,2022-01-01,18,5,True,False,Largo da Batata,Largo da Batata,-23.5668309564147,-46.6937412022694,-23.5668309564147,-46.6937412022694,0.0
