address,capacity,lat,lon,name,project
218 - Cemitério Cardeal,15,-23.55856,-46.683137,218 - Cemitério Cardeal,BikeSampa
Rua Joaquim Antunes,15,-23.561729,-46.683453,219 - Rua Joaquim Antunes,BikeSampa
220 - R. dos Pinheiros,15,-23.564371,-46.679803,220 - R. dos Pinheiros,BikeSampa
221 - Sampaio Vidal 27,15,-23.566676,-46.680333,221 - Sampaio Vidal 27,BikeSampa
222 - Rua Horácio Lane,15,-23.55872,-46.68716,222 - Rua Horácio Lane,BikeSampa
223 -Fradique Coutinho,23,-23.5619624,-46.6872897,223 -Fradique Coutinho,BikeSampa
224 - Metrô Fradique Coutinho,27,-23.565424,-46.68467,224 - Metrô Fradique Coutinho,BikeSampa
225 - Sampaio Vidal 530,15,-23.568758,-46.684279,225 - Sampaio Vidal 530,BikeSampa
226 - Fradique Coutinho 941,15,-23.559206,-46.689287,226 - Fradique Coutinho 941,BikeSampa
227 - R. Simão Álvares,15,-23.5610237,-46.6908863,227 - R. Simão Álvares,BikeSampa
Arthur de Azevedo,11,-23.566128,-46.68761,229 - Arthur de Azevedo,BikeSampa
230 - Rua Mariano Correia,15,-23.570132,-46.686392,230 - Rua Mariano Correia,BikeSampa
231 - Instituto Tomie Ohtake,11,-23.5614362,-46.695446,231 - Instituto Tomie Ohtake,BikeSampa
232 - Sumidouro,15,-23.5652407,-46.6955286,232 - Sumidouro,BikeSampa
233 - Paraopeba,15,-23.564243,-46.6993368,233 - Paraopeba,BikeSampa
234 - Praça Roquete Pinto,15,-23.5589217,-46.6994292,234 - Praça Roquete Pinto,BikeSampa
235 - CETESB,17,-23.560217,-46.700815,235 - CETESB,BikeSampa
praça ernami Braga,11,-23.556791,-46.70212,236 - Praça Ernami Braga,BikeSampa
238 - Avenida dos Semaneiros,15,-23.5552497,-46.7056093,238 - Avenida dos Semaneiros,BikeSampa
239 - Avenida Antônio Batuira,15,-23.5584938,-46.7067852,239 - Avenida Antônio Batuira,BikeSampa
240 - Praça Panamericana,23,-23.5542011,-46.707958,240 - Praça Panamericana,BikeSampa
241 - CPTM Cidade Universitária,23,-23.556746,-46.710985,241 - CPTM Cidade Universitária,BikeSampa
262 - Colégio Santa Cruz,23,-23.5505127,-46.7177288,262 - Colégio Santa Cruz,BikeSampa
276 - R. Carneiro da Silva,27,-23.524723,-46.736451,276 - R. Carneiro da Silva,BikeSampa
267 - CPTM Vila Lobos Jaguaré,23,-23.545371,-46.732305,267 - CPTM Vila Lobos Jaguaré,BikeSampa
292 - Rua Domingos de Moraes,0,-23.57921,-46.640725,292 - Rua Domingos de Moraes,BikeSampa
293 - Metrô Ana Rosa,0,-23.580855,-46.63766,293 - Metrô Ana Rosa,BikeSampa
294 - Metrô Ana Rosa II,19,-23.581989,-46.638525,294 - Metrô Ana Rosa II,BikeSampa
295 -Vergueiro,23,-23.584369,-46.636452,295 -Vergueiro,BikeSampa
296 - R. Major Maragliano,19,-23.5860237,-46.6382096,296 - R. Major Maragliano,BikeSampa
297 -SESC Vila Mariana,19,-23.582163,-46.642831,297 -SESC Vila Mariana,BikeSampa
299 - R. Áurea,15,-23.58455,-46.646551,299 - R. Áurea,BikeSampa
300 - Caravelas,15,-23.582373,-46.648791,300 - Caravelas,BikeSampa
301 - R. França Pinto,15,-23.5908707,-46.6490886,301 - R. França Pinto,BikeSampa
302 - Tangará,15,-23.589366,-46.647226,302 - Tangará,BikeSampa
303 - Rio Grande,15,-23.587243,-46.643222,303 - Rio Grande,BikeSampa
304 - Gandavo,11,-23.59171,-46.643646,304 - Gandavo,BikeSampa
305 - MUBA,23,-23.589514,-46.640179,305 - MUBA,BikeSampa
306 - R.Madre Cabrini,0,-23.590562,-46.636625,306 - R. Madre Cabrini,BikeSampa
307 - Metrô Vila Mariana,23,-23.589853,-46.635073,307 - Metrô Vila Mariana,BikeSampa
308 - R da cunha,15,-23.595055,-46.637392,308 - R da cunha,BikeSampa
310 - R. Cel. Lisboa,19,-23.595774,-46.639826,310 - R. Cel. Lisboa,BikeSampa
"311 - R. Diogo de Faria , 650",18,-23.595669,-46.643035,"311 - R. Diogo de Faria , 650",BikeSampa
312 - R. DIOGO DE FARIA,23,-23.595207,-46.648579,312 - R. DIOGO DE FARIA,BikeSampa
314 - R. José Guimarães,19,-23.59875,-46.64945,314 - R. José Guimarães,BikeSampa
315 -Metrô Hospital São Paulo,19,-23.598014,-46.647094,315 -Metrô Hospital São Paulo,BikeSampa
316 - EMBAÚ,19,-23.597986,-46.640923,316 - EMBAÚ,BikeSampa
317 - R. Leonardo Nunes,15,-23.598727,-46.639142,317 - R. Leonardo Nunes,BikeSampa
319 - Metrô Moema,27,-23.603657,-46.661782,319 - Metrô Moema,BikeSampa
320 - Jandira,19,-23.605971,-46.663826,320 - Jandira,BikeSampa
321 - Gaivota,23,-23.6043018,-46.6682573,321 - Gaivota,BikeSampa
322 - Metrô Eucaliptos,27,-23.609553,-46.668485,322 - Metrô Eucaliptos,BikeSampa
323 - Eucaliptos,15,-23.608406,-46.671081,323 - Eucaliptos,BikeSampa
324 - Canário,14,-23.605189,-46.670666,324 - Canário,BikeSampa
325 - Pintassilgo,11,-23.604269,-46.674326,325 - Pintassilgo,BikeSampa
326 - Inhambú,19,-23.60729,-46.674141,326 - Inhambú,BikeSampa
327 - Arapanés,15,-23.611669,-46.67172,327 - Arapanés,BikeSampa
328 - R. Demóstenes,11,-23.613484,-46.677349,328 - R. Demóstenes,BikeSampa
329 - Bandeirantes,11,-23.6080405,-46.6780242,329 - Bandeirantes,BikeSampa
331 - Rua Nebrasca,11,-23.6088329,-46.6836064,331 - Rua Nebrasca,BikeSampa
332 - Rua Nova York,11,-23.6107008,-46.6805368,332 - Rua Nova York,BikeSampa
333 -R. Flórida 53,15,-23.6172281,-46.6812646,333 -R. Flórida 53,BikeSampa
334 - R. Pe. Antônio,15,-23.613325,-46.682667,334 - R. Pe. Antônio,BikeSampa
335 - R. Ribeiro do Vale,11,-23.610676,-46.685846,335 - R. Ribeiro do Vale,BikeSampa
336 - Flórida 1020,11,-23.611062,-46.688886,336 - Flórida 1020,BikeSampa
337 - Castilho,19,-23.6132275,-46.691358,337 - Castilho,BikeSampa
338 - RUA PITÚ,23,-23.614598,-46.688266,338 - RUA PITÚ,BikeSampa
339 - R. Min. Luiz Gallotti,15,-23.618943,-46.6839485,339 - R. Min. Luiz Gallotti,BikeSampa
340 - R. Oscar Gomes Cardim II,15,-23.6208404,-46.6882269,340 - R. Oscar Gomes Cardim II,BikeSampa
341 - R. Coronel Conrado Siqueira,15,-23.624119,-46.686842,341 - R. Coronel Conrado Siqueira,BikeSampa
342 - R. Santo Arcádio,11,-23.6240245,-46.6913464,342 - R. Santo Arcádio,BikeSampa
343 - Jurubatuba,15,-23.6165603,-46.6944973,343 - Jurubatuba,BikeSampa
345 - R. Henrique FIsher,23,-23.61936959,-46.69657426,345 - R. Henrique FIsher,BikeSampa
346 - R. Vieira da Silva,15,-23.622813,-46.695661,346 - R. Vieira da Silva,BikeSampa
347 - Metrô Brooklin,29,-23.6267571,-46.6873239,347 - Metrô Brooklin,BikeSampa
348 - R. João Pais,15,-23.629282,-46.688435,348 - R. João Pais,BikeSampa
349 - Cacioneiro de Évora,11,-23.6275112,-46.6921382,349 - Cacioneiro de Évora,BikeSampa
355 - R. Dr. Rafael de Barros,19,-23.57257,-46.646526,355 - R. Dr. Rafael de Barros,BikeSampa
358 - SHOPPING VILLA LOBOS,7,-23.5517772,-46.7222185,358 - SHOPPING VILLA LOBOS,BikeSampa
206 - Alameda Tietê,15,-23.55906,-46.668945,206 - Alameda Tietê,BikeSampa
261- Praça Pero Vaz de Caminha,15,-23.551755,-46.711156,261- Praça Pero Vaz de Caminha,BikeSampa
263 - Praça Beethoven,15,-23.547235,-46.716313,263 - Praça Beethoven,BikeSampa
264 - Parque Vila Lobos Portão 2,19,-23.543531,-46.725728,264 - Parque Vila Lobos Portão 2,BikeSampa
269 - R. Blumenau,15,-23.535868,-46.726758,269 - R. Blumenau,BikeSampa
271 - R. Fröben,15,-23.531196,-46.731937,271 - R. Fröben,BikeSampa
277 -Carlos Weber 223,11,-23.523347,-46.733747,277 -Carlos Weber 223,BikeSampa
270 - R. Nagel,15,-23.533249,-46.731082,270 - R. Nagel,BikeSampa
273 - R. Hayden,11,-23.529005,-46.732888,273 - R. Hayden,BikeSampa
275 - R. Hassib Mofarrej,27,-23.52751,-46.734407,275 - R. Hassib Mofarrej,BikeSampa
272 -SESI Leopoldina,23,-23.5281991,-46.7298323,272 -SESI Leopoldina,BikeSampa
274 - BAUMANN,19,-23.5282989,-46.737114,274 - BAUMANN,BikeSampa
278 - R. Tripoli,19,-23.5262598,-46.7322527,278 - R. Tripoli,BikeSampa
111 - Edward Weston,19,-23.610667,-46.69625,111 - Edward Weston,BikeSampa
1 - Central do Brasil,24,-22.9045032,-43.1907295,1 - Central do Brasil,BikeRio
2 - Praça da República,19,-22.9076921,-43.1898851,2 - Praça da República,BikeRio
3 - Praça Tiradentes,17,-22.9068542,-43.1820677,3 - Praça Tiradentes,BikeRio
4 - Largo de São Francisco,11,-22.90568,-43.180201,4 - Largo de São Francisco,BikeRio
5 - Largo da Carioca,19,-22.90734,-43.17798,5 - Largo da Carioca,BikeRio
6 - Praça Marechal Âncora,19,-22.904101,-43.171723,6 - Praça Marechal Âncora,BikeRio
7 - Bossa Nova Mall,11,-22.914995,-43.1660078,7 - Bossa Nova Mall,BikeRio
8 - MAM,23,-22.912731,-43.172146,8 - MAM,BikeRio
9 - Sala Cecília Meirelles,23,-22.913962,-43.178629,9 - Sala Cecília Meirelles,BikeRio
10 - Largo da Glória,11,-22.92047,-43.177309,10 - Largo da Glória,BikeRio
11 - Praça Luiz de Camões,17,-22.9207114,-43.1746119,11 - Praça Luiz de Camões,BikeRio
12 - Artur Bernardes,15,-22.928383,-43.179292,12 - Artur Bernardes,BikeRio
13 - Parque Guinle,15,-22.932322,-43.1822047,13 - Parque Guinle,BikeRio
