index,Unnamed: 0,NumeroZona,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,geometry,lat,lon
176,176,177,Parque Ecológico do Tietê,36,São Paulo,18,Cangaíba,530.85,POINT (-46.52137598707579 -23.49191257779858),-23.491912577798576,-46.52137598707579
177,177,178,USP Leste I,36,São Paulo,18,Cangaíba,50.18,POINT (-46.50179357416633 -23.48407402273907),-23.484074022739073,-46.50179357416633
178,178,179,USP Leste II,36,São Paulo,28,Ermelino Matarazzo,122.83,POINT (-46.48363691706911 -23.47940758752647),-23.47940758752647,-46.48363691706911
179,179,180,Ermelino Matarazzo,36,São Paulo,28,Ermelino Matarazzo,448.82,POINT (-46.49043364369418 -23.49033695974036),-23.490336959740358,-46.49043364369418
180,180,181,Parque Buturussu,36,São Paulo,28,Ermelino Matarazzo,371.83,POINT (-46.4769018671208 -23.49612971906661),-23.496129719066605,-46.4769018671208
181,181,182,Ponte Rasa,36,São Paulo,65,Ponte Rasa,365.36,POINT (-46.50142552119679 -23.51386705744039),-23.513867057440386,-46.50142552119679
182,182,183,Burgo Paulista,36,São Paulo,65,Ponte Rasa,291.63,POINT (-46.48360320864662 -23.51774689037748),-23.517746890377477,-46.48360320864662
183,183,184,Limoeiro,36,São Paulo,89,Vila Jacuí,143.33,POINT (-46.4718590559133 -23.51194611050639),-23.511946110506386,-46.4718590559133
184,184,185,Laranja da China,36,São Paulo,89,Vila Jacuí,131.72,POINT (-46.46406541692528 -23.50873731656971),-23.508737316569714,-46.46406541692528
185,185,186,Pedro José Nunes,36,São Paulo,89,Vila Jacuí,86.18,POINT (-46.46115645831897 -23.50300487342308),-23.503004873423077,-46.46115645831897
186,186,187,Parque Cruzeiro do Sul,36,São Paulo,89,Vila Jacuí,249.91,POINT (-46.46204047374546 -23.49025952304924),-23.49025952304924,-46.46204047374546
187,187,188,Vila Jacuí,36,São Paulo,89,Vila Jacuí,211.87,POINT (-46.45155936418772 -23.50640562250845),-23.506405622508453,-46.451559364187716
188,188,189,Parada XV,36,São Paulo,36,Itaquera,324.46,POINT (-46.44185342533083 -23.53410387020473),-23.53410387020473,-46.44185342533083
189,189,190,Itaquera,36,São Paulo,36,Itaquera,283.17,POINT (-46.45345612560394 -23.54719133430931),-23.547191334309314,-46.453456125603935
