i_start,j_start,i_end,j_end,trip counts,origin,destination
12,5,12,7,69.95230099999999,POINT (-46.68852215126554 -23.6007886179581),POINT (-46.64291149380045 -23.59556186542109)
12,5,13,4,174.475629,POINT (-39.82783958989118 -20.12307068939816),POINT (-39.83164823932398 -20.10013599628512)
12,5,13,5,393.02439200000003,POINT (-35.54081704898961 -17.97583991817112),POINT (-35.55045410797061 -17.9455097372185)
12,5,13,6,709.973373,POINT (-36.04876347885941 -18.21778697076715),POINT (-36.03971471215639 -18.19671287685376)
12,5,13,7,341.613252,POINT (-46.69306540758826 -23.60052241625243),POINT (-46.65024414851923 -23.55428824454413)
12,5,14,3,50.574951,POINT (-46.68017376894122 -23.59465745521354),POINT (-46.72057049767339 -23.54864971093708)
12,5,14,7,487.5218720000001,POINT (-46.68259186910326 -23.61445231041574),POINT (-46.64595522424207 -23.54261242703888)
12,6,12,4,16.639008999999998,POINT (-46.65887977161214 -23.59450713659393),POINT (-46.69611565138302 -23.61520809045078)
12,6,12,5,961.5251440000002,POINT (-37.43400555839129 -18.93118615033341),POINT (-37.44683601328637 -18.9276531889917)
12,6,12,6,1179.6800919999998,POINT (-43.54761446423316 -22.02435346743294),POINT (-43.548360695771 -22.024544325445)
12,6,13,4,307.19207400000005,POINT (-38.85466297984735 -19.65857872265193),POINT (-38.88885155217071 -19.62191099552275)
12,6,13,5,481.590704,POINT (-40.19847353115254 -20.33736780859077),POINT (-40.2175066075277 -20.31773548516787)
12,6,13,7,38.995647,POINT (-46.6729842874087 -23.59486150332894),POINT (-46.65103411033595 -23.58143374756477)
12,6,13,13,69.2028,POINT (-46.66116357501921 -23.61245273143528),POINT (-46.53740707817943 -23.57112198838006)
12,6,14,6,21.471303,POINT (-46.67451534116628 -23.60277344426105),POINT (-46.65581878588142 -23.55280220411569)
12,7,10,2,848.2824720000001,POINT (-46.64349459785672 -23.59674768599375),POINT (-46.74243645561613 -23.65495903151363)
12,7,11,8,822.962724,POINT (-46.64775900200386 -23.6149344533288),POINT (-46.6353053906567 -23.62459307169492)
12,7,12,5,69.95230099999999,POINT (-46.64291149380045 -23.59556186542109),POINT (-46.68852215126554 -23.6007886179581)
12,7,12,8,570.023751,POINT (-46.65563513375698 -23.61078704803366),POINT (-46.63135881575025 -23.61772649871291)
12,7,13,5,212.53360600000002,POINT (-46.64574220506383 -23.61195782895209),POINT (-46.68733810538915 -23.57640219112761)
12,7,13,6,472.442976,POINT (-46.63780714868376 -23.60982033846525),POINT (-46.65838340469472 -23.56124521040693)
12,7,14,6,55.976883,POINT (-46.64895139036954 -23.59195800488293),POINT (-46.66015830596621 -23.54111597974747)
12,7,14,8,35.095453000000006,POINT (-46.64833057394073 -23.59638036611641),POINT (-46.6208396619987 -23.54405915107992)
12,8,12,4,292.2454160000001,POINT (-46.62800669034093 -23.59785902654409),POINT (-46.69496335593241 -23.60181106644905)
12,8,12,7,570.023751,POINT (-46.63135881575025 -23.61772649871291),POINT (-46.65563513375698 -23.61078704803366)
12,8,12,8,290.034248,POINT (-46.62357997032592 -23.61001039026666),POINT (-46.62357997032592 -23.61001039026666)
12,8,13,7,294.05590400000006,POINT (-46.62153957286191 -23.5891041046542),POINT (-46.65322190789367 -23.5636751363073)
12,8,13,9,77.090777,POINT (-46.61967478882128 -23.58964732519945),POINT (-46.60305267077708 -23.57478424106709)
12,9,11,9,1846.718748,POINT (-46.60307239970059 -23.60140550843551),POINT (-46.60588405913848 -23.63591738339121)
12,9,13,8,71.885533,POINT (-46.61363993415856 -23.60253318458076),POINT (-46.63600580146606 -23.57994923539095)
12,9,13,9,77.090777,POINT (-46.6003641054055 -23.60109932976904),POINT (-46.60551254099482 -23.5756528489326)
12,10,11,10,491.136924,POINT (-46.58851965126564 -23.59889113503361),POINT (-46.59094928446494 -23.62644497933891)
12,10,12,10,4729.7998720000005,POINT (-46.58971409644244 -23.60896582976851),POINT (-46.58971409644244 -23.60896582976851)
12,10,12,13,1009.036327,POINT (-46.59317986343739 -23.6001708473197),POINT (-46.53674216736561 -23.60824410186452)
12,10,13,9,257.770412,POINT (-46.5917947030509 -23.59582338700853),POINT (-46.60167153223946 -23.56753806407957)
12,10,13,10,1134.598972,POINT (-46.58145054774975 -23.5928406810539),POINT (-46.59684475627784 -23.56778639766207)
12,11,13,10,34.457348,POINT (-46.57611946652134 -23.58950847131975),POINT (-46.59022567627361 -23.58596925156789)
12,12,12,14,325.938186,POINT (-46.55655814748707 -23.61078288215517),POINT (-46.52227532098944 -23.60381719149363)
12,13,12,10,1009.036327,POINT (-46.53674216736561 -23.60824410186452),POINT (-46.59317986343739 -23.6001708473197)
12,14,12,12,325.938186,POINT (-46.52227532098944 -23.60381719149363),POINT (-46.55655814748707 -23.61078288215517)
12,14,12,17,221.57488,POINT (-46.51131155643687 -23.60143186690436),POINT (-46.46347816244071 -23.60657708243573)
12,14,12,18,282.357913,POINT (-46.51459938965326 -23.59333550086092),POINT (-46.44220852725694 -23.59192048569901)
12,16,11,18,382.376779,POINT (-46.47708955872936 -23.59513269067055),POINT (-46.44159499245486 -23.6397441787983)
12,16,12,17,893.9647669999997,POINT (-46.47944364008465 -23.60756360910034),POINT (-46.45064836673574 -23.59485816287596)
12,17,12,14,221.57488,POINT (-46.46347816244071 -23.60657708243573),POINT (-46.51131155643687 -23.60143186690436)
12,17,12,16,893.9647669999997,POINT (-46.45064836673574 -23.59485816287596),POINT (-46.47944364008465 -23.60756360910034)
12,18,12,14,282.357913,POINT (-46.44220852725694 -23.59192048569901),POINT (-46.51459938965326 -23.59333550086092)
13,1,13,2,410.532709,POINT (-46.76192909656818 -23.57691967009843),POINT (-46.74039384842013 -23.56489974897807)
13,1,14,1,190.754211,POINT (-46.75572531348424 -23.55758466846398),POINT (-46.75623046433186 -23.5425261090051)
13,1,14,2,120.60190899999999,POINT (-46.7646588414991 -23.58251428119343),POINT (-46.73947283291245 -23.52767047984523)
13,2,12,0,636.2918530000002,POINT (-46.74165784095646 -23.57680510077167),POINT (-46.78268872979871 -23.61534832818317)
13,2,12,4,20.247036,POINT (-46.73738246883051 -23.5668297300283),POINT (-46.69806422004264 -23.59454411393488)
13,2,13,1,410.532709,POINT (-46.74039384842013 -23.56489974897807),POINT (-46.76192909656818 -23.57691967009843)
13,2,13,3,203.695279,POINT (-46.74105989027615 -23.55969104209487),POINT (-46.72078578325723 -23.57495174785756)
13,2,13,4,463.762602,POINT (-46.74496363521045 -23.58157191845704),POINT (-46.70797090454743 -23.57187844806813)
13,2,13,5,37.708902,POINT (-46.73400521227949 -23.55955317555583),POINT (-46.68243408560446 -23.56290115738297)
13,2,14,5,48.563755,POINT (-46.73237823989678 -23.55799106956304),POINT (-46.69170123615349 -23.55143166861405)
13,3,11,3,160.867774,POINT (-46.73072474015338 -23.55589647068122),POINT (-46.73106773058888 -23.63354112137836)
13,3,12,2,856.761155,POINT (-46.71808159942173 -23.58471601042146),POINT (-46.73312671764675 -23.59933087492936)
13,3,13,2,203.695279,POINT (-46.72078578325723 -23.57495174785756),POINT (-46.74105989027615 -23.55969104209487)
13,3,13,3,182.54819,POINT (-46.71840992206783 -23.56742436345822),POINT (-46.71840992206783 -23.56742436345822)
13,3,13,4,572.479137,POINT (-39.29947760406356 -19.82085986167166),POINT (-39.28036871588451 -19.82314401069793)
13,3,13,5,176.151615,POINT (-46.7146060491076 -23.56379574835215),POINT (-46.68258027920069 -23.58359661077732)
13,3,14,3,109.208763,POINT (-46.7290442876274 -23.56146860790263),POINT (-46.72155714298434 -23.53866963955016)
13,3,14,5,71.106223,POINT (-46.7290442923003 -23.56146861025877),POINT (-46.69028071848571 -23.54911734554361)
13,3,14,7,22.343047,POINT (-46.72271956910979 -23.57148989230053),POINT (-46.65143224118736 -23.54824343103633)
13,4,10,4,20.247036,POINT (-46.69598931132675 -23.58558188090461),POINT (-46.71046364847177 -23.6545025206952)
13,4,11,4,39.621531,POINT (-46.69886386931407 -23.56456459209065),POINT (-46.69661541868434 -23.62281493992077)
13,4,12,5,90.595228,POINT (-46.69531508909916 -23.56360100041509),POINT (-46.69101624605747 -23.59049428443246)
13,4,12,6,307.19207400000005,POINT (-38.88885155217071 -19.62191099552275),POINT (-38.85466297984735 -19.65857872265193)
13,4,13,2,463.762602,POINT (-46.70797090454743 -23.57187844806813),POINT (-46.74496363521045 -23.58157191845704)
13,4,13,3,572.479137,POINT (-39.28036871588451 -19.82314401069793),POINT (-39.29947760406356 -19.82085986167166)
13,4,13,4,242.040668,POINT (-45.31603194679867 -22.86014040148384),POINT (-45.31603966732261 -22.86013088870862)
13,4,13,5,617.5403670000001,POINT (-34.91004488879614 -17.61316317312012),POINT (-34.90122498323337 -17.62023733410209)
13,4,13,6,79.622434,POINT (-46.70010907446309 -23.5676934418689),POINT (-46.66704825123129 -23.58492896748227)
13,4,13,7,255.599233,POINT (-46.69414981418398 -23.57814311415614),POINT (-46.64553479509266 -23.581988759758)
13,4,13,8,226.236403,POINT (-46.7123647539101 -23.56470539985153),POINT (-46.62110605963357 -23.57215875488987)
13,4,14,4,154.800474,POINT (-46.70223683123177 -23.56632466916012),POINT (-46.70111246644976 -23.55204236913607)
13,4,14,5,48.563755,POINT (-46.6961739078215 -23.56639998761209),POINT (-46.67957736099456 -23.54701189867229)
13,5,11,4,176.151615,POINT (-46.68098925785846 -23.5832977825618),POINT (-46.69928348125374 -23.62147638622943)
13,5,11,5,350.77071,POINT (-46.69101572187825 -23.5705739184191),POINT (-46.6836088664986 -23.62501548923952)
13,5,12,5,393.02439200000003,POINT (-35.55045410797061 -17.9455097372185),POINT (-35.54081704898961 -17.97583991817112)
13,5,12,6,565.852468,POINT (-40.2175066050869 -20.31773548393478),POINT (-40.19847352871289 -20.33736780735649)
13,5,12,7,212.53360600000002,POINT (-46.68733810538915 -23.57640219112761),POINT (-46.64574220506383 -23.61195782895209)
13,5,13,2,37.708902,POINT (-46.68243408560446 -23.56290115738297),POINT (-46.73400521227949 -23.55955317555583)
13,5,13,3,176.151615,POINT (-46.68258027920069 -23.58359661077732),POINT (-46.7146060491076 -23.56379574835215)
13,5,13,4,670.71846,POINT (-33.93644595930161 -17.13317041772623),POINT (-33.94505719737847 -17.12627781702858)
13,5,13,5,1171.374436,POINT (-28.99155245571371 -14.63985314061974),POINT (-28.99153117777841 -14.63988852788429)
13,5,13,6,538.432458,POINT (-36.8773752928717 -18.61267871648144),POINT (-36.85938657849055 -18.6210791832568)
13,5,13,7,262.560346,POINT (-46.67877509324921 -23.58561537828966),POINT (-46.63753562433553 -23.56268531479801)
13,5,14,3,50.574951,POINT (-46.69000441605735 -23.57116284867744),POINT (-46.7162333770064 -23.5420154061609)
13,5,14,4,1046.036009,POINT (-28.32160338158001 -14.29155555672554),POINT (-28.32807765358356 -14.27988588680833)
13,5,14,5,821.0481139999999,POINT (-34.76084568658563 -17.54054172976582),POINT (-34.76619614563799 -17.52956609118912)
13,5,14,7,44.508981000000006,POINT (-46.67736003811294 -23.55444055910433),POINT (-46.6505877429373 -23.5268868020174)
13,5,14,8,64.036073,POINT (-46.68302116334419 -23.56438477315931),POINT (-46.63344650639603 -23.54492059795565)
13,6,11,4,601.763643,POINT (-40.52003717142394 -20.45770983197002),POINT (-40.55281148991777 -20.52152357305824)
13,6,12,3,185.908847,POINT (-46.65842173129164 -23.55649491017993),POINT (-46.7192365970129 -23.59064496246963)
13,6,12,4,79.622434,POINT (-46.66704825123129 -23.58492896748227),POINT (-46.69692126433414 -23.61156017979316)
13,6,12,5,296.079544,POINT (-42.91213606126581 -21.68170336306662),POINT (-42.91644471244331 -21.69516291381887)
13,6,12,7,174.204676,POINT (-46.67086347951918 -23.57672471903745),POINT (-46.65569736149806 -23.60637966257277)
13,6,13,2,287.494677,POINT (-46.66993214176336 -23.55653424769853),POINT (-46.73369821298087 -23.58540936564403)
13,6,13,4,79.622434,POINT (-46.66704825123129 -23.58492896748227),POINT (-46.70010907446309 -23.5676934418689)
13,6,13,5,306.96041199999996,POINT (-45.5868424916827 -23.03299258416484),POINT (-45.60317667798331 -23.00938552547395)
13,6,13,6,704.261468,POINT (-34.9946683140076 -17.67893783371023),POINT (-34.99575773364631 -17.67882607732257)
13,6,13,7,1084.968063,POINT (-29.42949348686286 -14.85788275221122),POINT (-29.41388541791986 -14.86326749663794)
13,6,13,9,298.2383,POINT (-46.65838340936056 -23.56124521276305),POINT (-46.61178285484944 -23.57405277415252)
13,6,14,4,95.431133,POINT (-46.67076864419673 -23.58548498370716),POINT (-46.70667034317005 -23.55083464938596)
13,6,14,5,100.238106,POINT (-46.67367790230637 -23.5777058030122),POINT (-46.6901786252077 -23.54879337082104)
13,6,14,6,32.721625,POINT (-46.66516865825956 -23.55864422367338),POINT (-46.67466199807436 -23.53631899344621)
13,6,14,7,154.776984,POINT (-46.65966644352245 -23.55810706550403),POINT (-46.65557616350794 -23.55063753045242)
13,6,14,8,236.806023,POINT (-46.6612449096769 -23.56210864608719),POINT (-46.63375200376291 -23.53793695964269)
13,6,15,8,31.030915000000004,POINT (-46.65852038932801 -23.55420921574388),POINT (-46.62453515873533 -23.50679748465031)
13,7,11,4,147.563342,POINT (-46.65455025002355 -23.56257738083039),POINT (-46.6968691485318 -23.62273089466599)
