i,j,geometry
5,17,"POLYGON ((-46.4468 -23.8464, -46.4468 -23.8139, -46.46580000000001 -23.8139, -46.46580000000001 -23.8464, -46.4468 -23.8464))"
5,18,"POLYGON ((-46.4278 -23.8464, -46.4278 -23.8139, -46.4468 -23.8139, -46.4468 -23.8464, -46.4278 -23.8464))"
5,19,"POLYGON ((-46.40880000000001 -23.8464, -46.40880000000001 -23.8139, -46.4278 -23.8139, -46.4278 -23.8464, -46.40880000000001 -23.8464))"
6,0,"POLYGON ((-46.7698 -23.8139, -46.7698 -23.7814, -46.7888 -23.7814, -46.7888 -23.8139, -46.7698 -23.8139))"
6,1,"POLYGON ((-46.75080000000001 -23.8139, -46.75080000000001 -23.7814, -46.7698 -23.7814, -46.7698 -23.8139, -46.75080000000001 -23.8139))"
6,2,"POLYGON ((-46.7318 -23.8139, -46.7318 -23.7814, -46.75080000000001 -23.7814, -46.75080000000001 -23.8139, -46.7318 -23.8139))"
6,3,"POLYGON ((-46.7128 -23.8139, -46.7128 -23.7814, -46.7318 -23.7814, -46.7318 -23.8139, -46.7128 -23.8139))"
6,4,"POLYGON ((-46.6938 -23.8139, -46.6938 -23.7814, -46.7128 -23.7814, -46.7128 -23.8139, -46.6938 -23.8139))"
6,5,"POLYGON ((-46.6748 -23.8139, -46.6748 -23.7814, -46.6938 -23.7814, -46.6938 -23.8139, -46.6748 -23.8139))"
6,6,"POLYGON ((-46.65580000000001 -23.8139, -46.65580000000001 -23.7814, -46.6748 -23.7814, -46.6748 -23.8139, -46.65580000000001 -23.8139))"
6,7,"POLYGON ((-46.6368 -23.8139, -46.6368 -23.7814, -46.65580000000001 -23.7814, -46.65580000000001 -23.8139, -46.6368 -23.8139))"
6,8,"POLYGON ((-46.6178 -23.8139, -46.6178 -23.7814, -46.6368 -23.7814, -46.6368 -23.8139, -46.6178 -23.8139))"
6,9,"POLYGON ((-46.5988 -23.8139, -46.5988 -23.7814, -46.6178 -23.7814, -46.6178 -23.8139, -46.5988 -23.8139))"
6,10,"POLYGON ((-46.57980000000001 -23.8139, -46.57980000000001 -23.7814, -46.5988 -23.7814, -46.5988 -23.8139, -46.57980000000001 -23.8139))"
6,11,"POLYGON ((-46.56080000000001 -23.8139, -46.56080000000001 -23.7814, -46.57980000000001 -23.7814, -46.57980000000001 -23.8139, -46.56080000000001 -23.8139))"
6,12,"POLYGON ((-46.5418 -23.8139, -46.5418 -23.7814, -46.56080000000001 -23.7814, -46.56080000000001 -23.8139, -46.5418 -23.8139))"
6,13,"POLYGON ((-46.5228 -23.8139, -46.5228 -23.7814, -46.5418 -23.7814, -46.5418 -23.8139, -46.5228 -23.8139))"
6,14,"POLYGON ((-46.50380000000001 -23.8139, -46.50380000000001 -23.7814, -46.5228 -23.7814, -46.5228 -23.8139, -46.50380000000001 -23.8139))"
6,15,"POLYGON ((-46.48480000000001 -23.8139, -46.48480000000001 -23.7814, -46.50380000000001 -23.7814, -46.50380000000001 -23.8139, -46.48480000000001 -23.8139))"
6,16,"POLYGON ((-46.46580000000001 -23.8139, -46.46580000000001 -23.7814, -46.48480000000001 -23.7814, -46.48480000000001 -23.8139, -46.46580000000001 -23.8139))"
