ZONA_O,ZONA_D,trip counts
268,301,78.731319
269,71,283.990582
272,59,113.771638
274,269,283.990582
277,268,66.958224
278,455,519.412877
280,9,206.804346
280,283,132.382264
283,280,132.382264
286,287,378.794549
287,286,378.794549
287,288,244.537178
287,289,796.30801
287,303,244.537178
288,287,244.537178
289,287,796.30801
291,293,868.504826
293,291,868.504826
293,298,1710.223829
298,293,1710.223829
298,302,362.427651
300,68,590.045444
300,70,121.243974
300,72,255.599233
300,79,59.19965
300,82,39.621531
300,268,224.546466
301,268,78.731319
302,298,362.427651
303,287,244.537178
303,317,20.247036
304,54,848.2824720000001
309,468,828.7815
315,322,268.767697
315,465,504.081927
316,32,165.004071
316,319,136.835057
316,329,809.350863
316,340,72.13579200000002
317,303,20.247036
317,339,20.247036
319,32,20.904776
319,316,136.835057
320,329,181.351088
321,73,160.867774
321,339,160.867774
322,73,576.096942
322,315,268.767697
325,460,488.487492
326,461,416.053521
329,316,809.350863
329,320,181.351088
331,332,617.29164
332,331,617.29164
334,106,23.894121
335,107,96.707788
335,339,410.532709
336,337,190.754211
337,336,190.754211
338,106,300.802213
338,131,933.963888
339,19,226.236403
339,31,22.343047
339,68,176.151615
339,80,37.708902
339,82,475.56020800000005
339,83,119.669978
339,97,109.208763
339,317,20.247036
339,321,160.867774
339,335,410.532709
339,340,206.65246
339,341,203.695279
340,65,31.100136
340,81,53.178093
340,96,26.400033
340,101,53.178093
340,316,72.13579200000002
340,339,206.65246
340,342,373.167374
341,339,203.695279
341,342,47.410292
342,340,373.167374
342,341,47.410292
342,461,636.2918530000002
347,348,47.543795
348,347,47.543795
358,360,731.70151
360,358,731.70151
360,361,127.233347
361,360,127.233347
363,371,931.793771
365,370,62.58819200000001
366,378,390.489116
367,373,900.950372
370,365,62.58819200000001
371,363,931.793771
373,367,900.950372
375,182,529.529116
375,376,1867.4132249999998
376,375,1867.4132249999998
376,386,80.50711700000002
377,398,1114.8602939999996
378,156,869.6128880000001
378,196,489.938079
378,366,390.489116
386,376,80.50711700000002
387,388,176.247984
387,397,552.1255219999999
388,387,176.247984
389,390,910.3541620000001
390,389,910.3541620000001
393,400,381.891416
394,395,443.47961
395,393,381.891416
395,394,443.47961
395,396,901.880005
396,200,157.912495
396,395,901.880005
397,387,552.1255219999999
397,399,756.008363
398,377,1114.8602939999996
398,400,349.334633
399,397,756.008363
400,205,349.334633
400,395,381.891416
400,398,349.334633
400,401,621.142655
401,400,621.142655
401,402,163.446192
401,403,801.088128
401,404,638.710362
